index,nome_feature,coeficiente,p_valor,nome_original_feature,calculo_score,score_preliminar,diferenca,score_final
0,intercept,-1.3713969764583878,,intercept,169.67961150319968,170.0,0.32038849680031944,170.0
1,grade:A,1.1202393203838654,1.7055174022001667e-30,grade,105.65701403473967,106.0,0.34298596526032554,106.0
2,grade:B,0.8918722447226658,1.198637440358657e-42,grade,84.11823845423262,84.0,-0.11823845423262469,84.0
3,grade:C,0.7060929052847189,1.3830271430554822e-31,grade,66.59618765919919,67.0,0.40381234080081185,67.0
4,grade:D,0.5295776597970604,2.5174635712070498e-20,grade,49.94789346841471,50.0,0.052106531585287996,50.0
5,grade:E,0.3440069779860038,1.869595193139788e-11,grade,32.445522523402296,32.0,-0.44552252340229614,32.0
6,grade:F,0.18141055559030417,0.000687049502572245,grade,17.110002540784546,17.0,-0.11000254078454574,17.0
7,home_ownership:OWN,0.08083765205375242,0.00016594977847214266,home_ownership,7.624321680345953,8.0,0.37567831965404697,8.0
8,home_ownership:MORTGAGE,0.11809243357675381,3.61896830420148e-18,home_ownership,11.138061023907039,11.0,-0.13806102390703856,11.0
9,addr_state:NM_VA,0.03892141353664788,0.2552631008053202,addr_state,3.670930185600313,4.0,0.32906981439968686,4.0
10,addr_state:NY,0.06142589958677763,0.01807076901998342,addr_state,5.793473784255993,6.0,0.20652621574400687,6.0
11,addr_state:OK_TN_MO_LA_MD_NC,0.055567228828176725,0.024959623092086068,addr_state,5.240904661477565,5.0,-0.24090466147756473,5.0
12,addr_state:CA,0.0663559477890496,0.003495676924225535,addr_state,6.258458509056495,6.0,-0.2584585090564948,6.0
13,addr_state:UT_KY_AZ_NJ,0.0759032365842913,0.0043209700645631165,addr_state,7.158925050337072,7.0,-0.15892505033707227,7.0
14,addr_state:AR_MI_PA_OH_MN,0.14012437235544326,6.295667796844681e-09,addr_state,13.216035633792053,13.0,-0.21603563379205326,13.0
15,addr_state:RI_MA_DE_SD_IN,0.09162011929385071,0.0040488935266903,addr_state,8.641285887713543,9.0,0.35871411228645655,9.0
16,addr_state:GA_WA_OR,0.20999087637972616,2.350711837116162e-13,addr_state,19.80559740147072,20.0,0.19440259852927966,20.0
17,addr_state:WI_MT,0.2631686781608168,2.998592307959885e-07,addr_state,24.821139747543707,25.0,0.17886025245629256,25.0
18,addr_state:TX,0.2138349272141665,1.3494456086292322e-14,addr_state,20.168154692198154,20.0,-0.16815469219815427,20.0
19,addr_state:IL_CT,0.2752026580130512,1.6390238192256832e-18,addr_state,25.956142201934988,26.0,0.04385779806501233,26.0
20,addr_state:KS_SC_CO_VT_AK_MS,0.30298930514291633,3.206527302011336e-20,addr_state,28.576880567708923,29.0,0.4231194322910774,29.0
21,addr_state:WV_NH_WY_DC_ME_ID,0.4482914041106411,5.728476112718072e-16,addr_state,42.28126107869598,42.0,-0.2812610786959766,42.0
22,verification_status:Not Verified,0.10888739366538497,4.650682513980309e-12,verification_status,10.269874187925804,10.0,-0.2698741879258044,10.0
23,verification_status:Source Verified,0.005560939165056533,0.6987678839569946,verification_status,0.52448813098917,1.0,0.47551186901083,1.0
24,purpose:credit_card,0.3029317251168113,2.0902306895142717e-23,purpose,28.57144982312105,29.0,0.42855017687895014,29.0
25,purpose:debt_consolidation,0.18952451838431053,1.1305946070824837e-11,purpose,17.87528283866761,18.0,0.12471716133239141,18.0
26,purpose:oth__med__vacation,0.19246416150487958,7.409648602870499e-09,purpose,18.15253958978813,18.0,-0.15253958978813031,18.0
27,purpose:major_purch__car__home_impr,0.2471937695543512,1.5735504021029644e-13,purpose,23.31444281937424,23.0,-0.31444281937423924,23.0
28,initial_list_status:w,0.06924290714630962,7.285469096311796e-07,initial_list_status,6.53074631379381,7.0,0.4692536862061898,7.0
29,term:36,0.08579196543467298,1.492822124337064e-08,term,8.091595011049122,8.0,-0.09159501104912238,8.0
30,emp_length:1,0.11293918069402205,5.0221890551463464e-05,emp_length,10.652024422398728,11.0,0.3479755776012716,11.0
31,emp_length:2-4,0.12619020887905857,4.4432371431288855e-10,emp_length,11.901814574775617,12.0,0.09818542522438278,12.0
32,emp_length:5-6,0.07654014508559641,0.000809562574718466,emp_length,7.2189960094944245,7.0,-0.21899600949442455,7.0
33,emp_length:7-9,0.05843616938474625,0.008725434084539897,emp_length,5.511492996607982,6.0,0.4885070033920176,5.0
34,emp_length:10,0.12981929430288983,5.0049270374519564e-11,emp_length,12.244097087611909,12.0,-0.24409708761190885,12.0
35,mths_since_issue_d:<38,1.0409867237719104,4.818019254262073e-142,mths_since_issue_d,98.18218918244868,98.0,-0.1821891824486812,98.0
36,mths_since_issue_d:38-39,0.8746355833906828,5.5612269864963074e-123,mths_since_issue_d,82.49253746773151,82.0,-0.4925374677315091,82.0
37,mths_since_issue_d:40-41,0.7765568882565981,9.70347403687023e-102,mths_since_issue_d,73.24210152986421,73.0,-0.24210152986421463,73.0
38,mths_since_issue_d:42-48,0.5560115466110171,3.8750450807029013e-67,mths_since_issue_d,52.44104426153088,52.0,-0.4410442615308767,52.0
39,mths_since_issue_d:49-52,0.4195562319489906,1.7067269874624705e-34,mths_since_issue_d,39.57106118378976,40.0,0.4289388162102412,40.0
40,mths_since_issue_d:53-64,0.184478772939958,1.0919532522461794e-08,mths_since_issue_d,17.399385958841076,17.0,-0.3993859588410764,17.0
41,mths_since_issue_d:65-84,-0.07183200437865202,0.02221073447337423,mths_since_issue_d,-6.774940815484011,-7.0,-0.22505918451598905,-7.0
